MacAddress,Company
00:04:C4,Audiotonix Group Limited
90:56:71,Cisco Systems
50:98:93,Texas Instruments
28:23:F5,China Mobile (Hangzhou) Information Technology Co.
6C:5C:B1,Silicon Laboratories
8C:1F:64:17:7,Emcom Systems
A8:60:B6,Apple
00:40:B1,CODONICS INC.
8C:1F:64:FE:1,SOREL GmbH
40:D8:55:0D:8,NEXT s.c. S.Piela B.Dryja
00:1D:92,MICRO-STAR INTL CO.
8C:1F:64:04:9,NUANCES ORG
F8:2B:E6:1,Coastal Source
98:22:EF,Liteon Technology Corporation
AC:D9:D6,tci GmbH
48:38:B6,Auhui Taoyun Technology Co.
8C:1F:64:F7:7,Invertek Drives Ltd
70:B3:D5:40:9,Beijing Yutian Technology Co.
D0:20:DD,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
00:50:C2:9B:C,Vester Elektronik GmbH
00:10:9F,PAVO
00:12:E1,Alliant Networks
C4:EE:F5,II-VI Incorporated
14:37:19,PT Prakarsa Visi Valutama
6C:2A:DF:1,Xian Xindian Equipment Engineering Center Co.
F4:57:3E,Fiberhome Telecommunication Technologies Co.
94:6A:B0,Arcadyan Corporation
A4:45:CD,IoT Diagnostics
00:1E:23,Electronic Educational Devices
B8:BA:72,Cynove
CC:5C:DE,China Mobile Group Device Co.
D8:54:F2,Huawei Device Co.
00:24:0D,OnePath Networks LTD.
A0:BB:3E:D,Shenzhen Talent Technology company limited
94:41:C1,Mini-Cam Limited
DC:D2:55,Kinpo Electronics
00:01:21,WatchGuard Technologies
D0:6A:1F,BSE CO.
54:DC:1D,Yulong Computer Telecommunication Scientific (Shenzhen) Co.
68:1A:A4,Shenzhen Skyworth  Digital  Technology  CO.
0C:C6:55,Wuxi YSTen Technology Co.
70:B3:D5:D7:6,attocube systems AG
00:50:C2:5B:6,Kontron (BeiJing) Technology Co.
00:07:36,Data Video Technologies Co.
00:1F:AD,Brown Innovations
70:B3:D5:6C:8,Sicon srl
70:B3:D5:B9:2,N A Communications LLC
00:50:C2:EA:F,Gogo BA 
4C:B9:EA,iRobot Corporation
00:40:21,RASTER GRAPHICS
F8:45:C4,Shenzhen Netforward Micro-Electronic Co.
DC:A9:56,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
34:E8:94,TP-LINK TECHNOLOGIES CO.
00:17:9F,Apricorn
50:21:EC,Huawei Device Co.
44:6C:24,Reallin Electronic Co.
5C:CE:AD,CDYNE Corporation
00:50:C2:BA:E,Fiber Connections Inc.
00:90:C3,TOPIC SEMICONDUCTOR CORP.
00:14:D5,Datang Telecom Technology CO. 
40:F3:85:6,Lennox International Incorporated
00:0D:47,Collex
58:E2:8F,Apple
00:03:9F,Cisco Systems
48:26:E8,Tek-Air Systems
04:26:65,Apple
70:B3:D5:D3:D,Netzikon GmbH
70:B3:D5:AF:D,dongsheng
70:B3:D5:B2:9,WiViCom Co.
9C:9C:1D,Starkey Labs Inc.
00:50:C2:59:B,SAPEC
20:91:8A,PROFALUX
9C:D3:32,PLC Technology Ltd
A0:3E:6B:3,iLoda Solutions Limited
70:B3:D5:03:0,Tresent Technologies
8C:81:26,ARCOM
74:E2:8C,Microsoft Corporation
74:6F:3D,Contec GmbH
70:B3:D5:1B:B,EFENTO T P SZYD??OWSKI K ZAR??BA SP????KA JAWNA
8C:1F:64:57:E,Guoqing (shangdong) Information Technology Co.
00:24:4D,Hokkaido Electronics Corporation
70:B3:D5:7B:4,Zumbach Electronic AG
64:6E:69,Liteon Technology Corporation
00:50:C2:ED:3,ECO MONITORING UTILITY SYSTEMS LTD
00:50:C2:49:6,Acutelogic Corporation
00:26:40,Baustem Broadband Technologies
3C:99:F7,Lansentechnology AB
70:B3:D5:43:6,Henrich Electronics Corporation
9C:F3:AC,Apple
70:B3:D5:FD:D,Laser Imagineering Vertriebs GmbH
00:21:59,Juniper Networks
38:91:48,zte corporation
38:81:D7,Texas Instruments
90:7E:43,zte corporation
38:3A:21:A,Foresight Sports
D4:20:00:2,Shenzhen AI Develop  Manufacture Co.
70:7C:69,Avaya Inc
88:41:FC,AirTies Wireless Networks
60:56:EE,AltoBeam Inc.
90:3D:68,G-Printec
DC:77:4C,Cisco Systems
1C:39:8A,Fiberhome Telecommunication Technologies Co.
7C:7A:91,Intel Corporate
A4:53:EE:C,SOS LAB Co.
70:DE:F9,FAI WAH INTERNATIONAL (HONG KONG) LIMITED
00:50:C2:0C:7,TransComm Technology System
8C:25:5E,VoltServer
20:0A:0D:D,Bently  EL  Co. Ltd.
0C:1B:CC,IFLYTEK CO.
E4:4E:12,zte corporation
6A:5C:35, Secr??tariat g??n??ral de la d??fense et de la s??curit?? nationale
F8:54:F6,AzureWave Technology Inc.
94:CC:04:B,Shandong free optical technology co.
34:5D:9E,Sagemcom Broadband SAS
9C:AF:CA,Cisco Systems
70:B3:D5:B1:9,Brayden Automation Corp
D0:58:75,Active Control Technology Inc.
8C:1F:64:B8:6,Elektronik  Modellprodukter G??vle AB
48:E6:63:6,Shenzhen Huabao New Energy Co.
70:B3:D5:C0:9,RCH Vietnam Limited Liability Company
1C:E8:9E,SJIT
B0:E2:E5,Fiberhome Telecommunication Technologies Co.
00:50:C2:0F:0,VHB Technologies
90:D1:1B,Palomar Medical Technologies
00:16:32,Samsung Electronics Co.
50:E6:36,AVM Audiovisuelles Marketing und Computersysteme GmbH
EC:F3:42,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
00:50:C2:FC:1,Motec Pty Ltd
BC:FF:EB,Motorola Mobility LLC
00:16:78,SHENZHEN BAOAN GAOKE ELECTRONICS CO.
74:FB:17,Qingdao Goertek  Horizons Tecnology  Co.
00:1A:D9,International Broadband Electric Communications
00:0F:88,AMETEK
EC:3E:F7,Juniper Networks
00:C0:EF,ABIT CORPORATION
00:03:D6,RADVision
00:50:C2:F8:C,UBSTechnology Co.
00:50:C2:F0:7,Icon Research Ltd
60:BD:2C,Taicang TW Electronics
20:D9:06,Iota
00:50:C2:F1:9,Netlink Bilisim Sistemleri San. ve Tic. Ltd. Sti.
00:01:1F,RC Networks
70:B3:D5:87:0,bentrup Industriesteuerungen
CC:EA:1C,DCONWORKS  Co.
B4:4D:43:B,Paulmann Licht GmbH
8C:C5:8C,ShenZhen Elsky Technology Co.
70:B3:D5:89:5,Integrated Control Corp.
00:22:51,Lumasense Technologies
34:F6:4B,Intel Corporate
DC:F7:19,Cisco Systems
00:50:C2:A8:B,Navicron Oy
70:B3:D5:DE:3,ETL Elektrotechnik Lauter GmbH
00:DD:0A,UNGERMANN-BASS INC.
74:B5:87,Apple
00:A0:AD,MARCONI SPA
74:86:0B,Cisco Systems
00:0E:D0,Privaris
48:4C:29,HUAWEI TECHNOLOGIES CO.
94:0D:4B,Cisco Systems
00:1E:AE,Continental Automotive Systems Inc.
E8:37:7A,Zyxel Communications Corporation
00:1B:C5:0A:4,RADMOR S.A.
70:69:79:E,BAS-IP LP
2C:07:F6,Wear Future Technologies Co.
54:07:7D,NETGEAR
00:0F:A8,Photometrics
8C:1F:64:1A:F,EnviroNode IoT Solutions
00:1A:01,Smiths Medical
00:50:C2:8E:B,C-COM Satellite Systems Inc.
00:21:D1,Samsung Electronics Co.
8C:1F:64:4E:0,PuS GmbH und Co. KG
00:50:C2:F0:9,Wheatstone Corporation
0C:D2:92,Intel Corporate
54:B8:02,Samsung Electronics Co.
00:05:17,Shellcomm
C0:39:37,GREE ELECTRIC APPLIANCES
00:1B:E8,Ultratronik GmbH
C8:BD:4D,Samsung Electronics Co.
00:13:D9,Matrix Product Development
F8:1D:78:A,AVPro Global Holdings LLC
00:50:C2:91:E,Automation Tec
00:18:8F,Montgomery Technology
00:50:46,MENICX INTERNATIONAL CO.
00:0D:5C,Robert Bosch GmbH
28:76:CD,Funshion Online Technologies Co.
40:D8:55:1D:B,NIPPON TECHNO LAB.
00:24:54,Samsung Electronics Co.
00:50:C2:39:6,RapidWave Inc.
E0:6C:F6,ESSENCORE limited
18:8E:D5,TP Vision Belgium N.V. - innovation site Brugge
04:58:5D:E,Shenzhen C  D Electronics Co.
40:17:F6,TKH SECURITY
70:B3:D5:1F:9,Automata GmbH  Co. KG
00:06:D7,Cisco Systems
08:F3:FB,Cisco Systems
A8:3F:A1:B,Exel s.r.l. unipersonale
00:1E:25,INTEK DIGITAL
00:10:C1,OI ELECTRIC CO.
00:04:40,cyberPIXIE
00:50:86,TELKOM SA
00:17:02,Osung Midicom Co.
00:07:8F,Emkay Innovative Products
00:50:C2:DF:2,Ocean Sonics
DC:3E:51,Solberg  Andersen AS
00:01:A4,Microlink Corporation
00:D0:0F,SPEECH DESIGN GMBH
00:E0:F5,TELES AG
6C:A9:6F,TransPacket AS
8C:5D:B2:E,Surbhi Satcom Pvt Ltd
30:D3:86,zte corporation
00:24:99,Aquila Technologies
00:50:C2:1B:9,EmCom Technology Inc.
70:B3:D5:C7:D,Metatronics B.V.
00:40:14,COMSOFT GMBH
18:67:B0,Samsung Electronics Co.
80:7D:E3,Chongqing Sichuan Instrument Microcircuit Co.LTD.
BC:82:5D,MITSUMI ELECTRIC CO.
00:50:C2:87:F,Optoelettronica Italia S.r.l.
04:11:19:2,Alethea Communications Technologies Pvt. Ltd.
C8:C1:26,ZPM Industria e Comercio Ltda
9C:65:EE,DASAN Network Solutions
A0:AA:FD,EraThink Technologies Corp.
00:20:45,ION Networks
00:03:7E,PORTech Communications
00:01:46,Tesco Controls
00:1A:4D,GIGA-BYTE TECHNOLOGY CO.
00:10:FE,DIGITAL EQUIPMENT CORPORATION
00:50:C2:47:9,Unlimited Bandwidth LLC
40:D8:55:0B:B,Whiptail
00:0C:F0,M  N GmbH
00:1B:C5:08:B,Nistica
BC:2E:F6,Huawei Device Co.
00:50:C2:3C:E,Ward Leonard Electric Company
70:B3:D5:4B:7,Aplex Technology Inc.
F8:08:4F,Sagemcom Broadband SAS
C8:6B:BC:0,SafelyYou
00:23:EC,Algorithmix GmbH
0C:E5:B5,HUAWEI TECHNOLOGIES CO.
C4:7B:A3,NAVIS Inc.
54:A5:4B,NSC Communications Siberia Ltd
5C:0B:CA,Tunstall Nordic AB
00:0B:7C,Telex Communications
00:40:C7,RUBY TECH CORPORATION
94:47:88,HUAWEI TECHNOLOGIES CO.
00:19:4A,TESTO AG
00:0E:7B,Toshiba
70:B3:D5:18:4,XV360 Optical Information Systems Ltd.
34:86:DA,Honor Device Co.
40:48:FD,IEEE Registration Authority
00:25:DB,ATI Electronics(Shenzhen) Co.
7C:3B:2D,Apple
28:8A:1C,Juniper Networks
00:13:12,Amedia Networks Inc.
00:CA:E5,Cisco Systems
00:50:C2:E3:6,Saia-Burgess Controls AG
0C:47:A9,IEEE Registration Authority
18:60:41,Arcadyan Corporation
00:50:C2:84:9,Design Analysis Associates
